word,region,IPAs,file_path,wiktionary_url
5-methoxy-dimethyltryptamine,US,"[""/fa\u026avm\u025b\u03b8\u02cc\u0251ksida\u026am\u025b\u03b8\u0259l\u02c8t\u0279\u026apt\u0259mi\u02d0n/""]",./audio_files/Full5meo.wav,https://en.wiktionary.org/wiki/5-methoxy-dimethyltryptamine
6th,US,"[""-\u026aks\u03b8""]",./audio_files/en-us-6th.wav,https://en.wiktionary.org/wiki/6th
6th,US,"[""-\u026aks\u03b8""]",./audio_files/En-us-sixth.wav,https://en.wiktionary.org/wiki/6th
6th,UK,"[""-\u026aks\u03b8""]",./audio_files/LL-Q1860_(eng)-Back_ache-Sixth.wav,https://en.wiktionary.org/wiki/6th
747,UK,"[""/\u02ccs\u025bv\u0259nf\u0254\u02d0\u02c8s\u025bv\u0259n/""]",./audio_files/en-uk-747.wav,https://en.wiktionary.org/wiki/747
747,US,"[""/\u02ccs\u025bv\u0259nf\u0254\u0279ti\u02c8s\u025bv\u0259n/""]",./audio_files/en-us-747.wav,https://en.wiktionary.org/wiki/747
8,US,"[""/e\u026at/""]",./audio_files/en-us-eight.wav,https://en.wiktionary.org/wiki/8
86,US,"[""/\u02cce\u026ati\u02c8s\u026aks/""]",./audio_files/en-us-86.wav,https://en.wiktionary.org/wiki/86
a-,US,"[""/\u0259/""]",./audio_files/en-us-a-(1).wav,https://en.wiktionary.org/wiki/a-
A*,US,"[""/e\u026a\u032f st\u0251\u02d0/""]",./audio_files/en-us-a-star.wav,https://en.wiktionary.org/wiki/A*
aabomycin,US,"[""/\u02cc\u00e6b.o\u028a\u02c8ma\u026a.s\u026an/""]",./audio_files/En-us-aabomycin.wav,https://en.wiktionary.org/wiki/aabomycin
aandblom,US,"[""/\u02c8\u0251nt.bl\u0251m/""]",./audio_files/en-us-aandblom.wav,https://en.wiktionary.org/wiki/aandblom
aapa,US,"[""/\u0251\u02d0p\u0251\u02d0/""]",./audio_files/LL-Q1860_(eng)-Persent101-aapa.wav,https://en.wiktionary.org/wiki/aapa
aardvark,US,"[""/\u02c8\u0251\u0279d.v\u0251\u0279k/""]",./audio_files/en-us-aardvark.wav,https://en.wiktionary.org/wiki/aardvark
aardwolves,US,"[""/\u02c8\u0251\u0279d\u02ccw\u028alvz/""]",./audio_files/LL-Q1860_(eng)-Persent101-aardwolves.wav,https://en.wiktionary.org/wiki/aardwolves
abaca,US,"[""/\u02c8\u00e6b.\u0259\u02cck\u0251/""]",./audio_files/LL-Q1860_(eng)-Vininn126-abaca.wav,https://en.wiktionary.org/wiki/abaca
abacate,Southern England,"[""/\u02cc\u00e6.b\u0259\u02c8k\u0251t.i/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abacate.wav,https://en.wiktionary.org/wiki/abacate
abacavir,US,"[""/\u0259\u02c8b\u00e6k.\u0259\u02ccv\u026a\u0279/""]",./audio_files/En-abacavir.wav,https://en.wiktionary.org/wiki/abacavir
abacinate,UK,"[""/\u0259b\u02c8\u00e6s\u026ane\u026at/""]",./audio_files/En-uk-abacinate.wav,https://en.wiktionary.org/wiki/abacinate
aback,US,"[""/\u0259\u02c8b\u00e6k/""]",./audio_files/en-us-aback.wav,https://en.wiktionary.org/wiki/aback
abaculus,US,"[""/\u0259\u02c8b\u00e6k.j\u0259.l\u0259s/""]",./audio_files/en-us-abaculus.wav,https://en.wiktionary.org/wiki/abaculus
abacuses,US,"[""/\u02c8\u00e6b\u0259.k\u0259s\u026az/""]",./audio_files/LL-Q1860_(eng)-Persent101-abacuses.wav,https://en.wiktionary.org/wiki/abacuses
a bad penny always turns up,Southern England,"[""/\u0259 b\u00e6d p\u025bni \u0254\u026bwe\u026az t\u025dnz \u028cp/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-a_bad_penny_always_turns_up.wav,https://en.wiktionary.org/wiki/a_bad_penny_always_turns_up
abaft,US,"[""/\u0259\u02c8b\u00e6ft/""]",./audio_files/en-us-abaft.wav,https://en.wiktionary.org/wiki/abaft
abaisance,Southern England,"[""/\u0259\u02c8be\u026az\u0259ns/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abaisance.wav,https://en.wiktionary.org/wiki/abaisance
abaiser,US,"[""/\u0259\u02c8be\u026a.s\u025a/""]",./audio_files/en-us-abaiser.wav,https://en.wiktionary.org/wiki/abaiser
abamp,Canada,"[""/\u02c8\u00e6b\u02cc\u00e6mp/""]",./audio_files/en-ca-abamp.wav,https://en.wiktionary.org/wiki/abamp
abampere,US,"[""/\u00e6\u02c8b\u00e6mp\u026a\u0279/""]",./audio_files/En-us-abampere.wav,https://en.wiktionary.org/wiki/abampere
abamperes,Canada,"[""/\u00e6b\u02c8\u00e6mp\u025b\u0259/""]",./audio_files/en-ca-abamperes.wav,https://en.wiktionary.org/wiki/abamperes
abandon,US,"[""/\u0259\u02c8b\u00e6n.d\u0259n/""]",./audio_files/en-us-abandon.wav,https://en.wiktionary.org/wiki/abandon
abandon,Canada,"[""/\u0259\u02c8b\u00e6n.d\u0259n/""]",./audio_files/en-ca-abandon.wav,https://en.wiktionary.org/wiki/abandon
abandoned,US,"[""/\u0259\u02c8b\u00e6n.d\u0259nd/""]",./audio_files/en-us-abandoned.wav,https://en.wiktionary.org/wiki/abandoned
abandonedly,Southern England,"[""/\u0259\u02c8b\u00e6n.dn\u0329.\u0259d.li/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abandonedly.wav,https://en.wiktionary.org/wiki/abandonedly
abandonee,US,"[""/\u0259\u02c8b\u00e6n.d\u0259\u02ccni/""]",./audio_files/en-us-abandonee.wav,https://en.wiktionary.org/wiki/abandonee
abandoner,UK,"[""/\u0259\u02c8b\u00e6nd\u0259n\u0259/""]",./audio_files/LL-Q1860_(eng)-Vanderdecken-abandoner.wav,https://en.wiktionary.org/wiki/abandoner
abandoning,US,"[""/\u0259\u02c8b\u00e6nd\u0259n\u026a\u014b/""]",./audio_files/LL-Q1860_(eng)-Persent101-abandoning.wav,https://en.wiktionary.org/wiki/abandoning
abandonment,US,"[""/\u0259\u02c8b\u00e6n.dn\u0329.mn\u0329t/""]",./audio_files/en-us-abandonment.wav,https://en.wiktionary.org/wiki/abandonment
abas,US,"[""/\u0259\u02c8b\u0251s/""]",./audio_files/LL-Q1860_(eng)-Wodencafe-abas.wav,https://en.wiktionary.org/wiki/abas
abasedly,US,"[""/\u0259\u02c8be\u026as.\u0259d.li/""]",./audio_files/en-us-abasedly.wav,https://en.wiktionary.org/wiki/abasedly
abaser,US,"[""/\u0259\u02c8be\u026as.\u025a/""]",./audio_files/en-us-abaser.wav,https://en.wiktionary.org/wiki/abaser
abases,Canada,"[""/\u0259\u02c8be\u026as\u0259s/""]",./audio_files/en-ca-abases.wav,https://en.wiktionary.org/wiki/abases
abash,US,"[""/\u0259\u02c8b\u00e6\u0283/""]",./audio_files/en-us-abash.wav,https://en.wiktionary.org/wiki/abash
abashedly,Southern England,"[""/\u0259\u02c8b\u00e6\u0283.\u026ad.li/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abashedly.wav,https://en.wiktionary.org/wiki/abashedly
abashment,US,"[""/\u0259\u02c8b\u00e6\u0283.m\u0259nt/""]",./audio_files/LL-Q1860_(eng)-Vininn126-abashment.wav,https://en.wiktionary.org/wiki/abashment
abasing,Canada,"[""/\u0259\u02c8be\u026as\u026a\u014b/""]",./audio_files/en-ca-abasing.wav,https://en.wiktionary.org/wiki/abasing
abassi,Southern England,"[""/\u0259\u02c8b\u0251.si/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abassi.wav,https://en.wiktionary.org/wiki/abassi
abatable,US,"[""/\u0259\u02c8be\u026at.\u0259.b\u0259l/""]",./audio_files/en-us-abatable.wav,https://en.wiktionary.org/wiki/abatable
abatable,Canada,"[""/\u0259\u02c8be\u026at.\u0259.b\u0259l/""]",./audio_files/en-ca-abatable.wav,https://en.wiktionary.org/wiki/abatable
abated,Canada,"[""/\u0259\u02c8be\u026at\u026ad/""]",./audio_files/en-ca-abated.wav,https://en.wiktionary.org/wiki/abated
abatement,US,"[""/\u0259\u02c8be\u026at.m\u0259nt/""]",./audio_files/en-us-abatement.wav,https://en.wiktionary.org/wiki/abatement
abating,Canada,"[""/\u0259\u02c8be\u026at\u026a\u014b/""]",./audio_files/en-ca-abating.wav,https://en.wiktionary.org/wiki/abating
abature,US,"[""/\u02c8\u00e6b.\u0259.tj\u028a\u0279/""]",./audio_files/en-us-abature.wav,https://en.wiktionary.org/wiki/abature
abatvoix,US,"[""/\u0251\u02ccb\u0251v\u02c8w\u0251/""]",./audio_files/en-us-abatvoix.wav,https://en.wiktionary.org/wiki/abatvoix
abaya,Canada,"[""/\u0259\u02c8be\u026a.j\u0259/""]",./audio_files/en-ca-abaya.wav,https://en.wiktionary.org/wiki/abaya
abayas,Canada,"[""/\u0259\u02c8be\u026a(j)\u0259z/""]",./audio_files/en-ca-abayas.wav,https://en.wiktionary.org/wiki/abayas
abb,US,"[""/\u00e6b/""]",./audio_files/en-us-abb.wav,https://en.wiktionary.org/wiki/abb
abbacies,Canada,"[""/ab\u0259sis/""]",./audio_files/en-ca-abbacies.wav,https://en.wiktionary.org/wiki/abbacies
abbacy,US,"[""/\u02c8\u00e6b.\u0259.si/""]",./audio_files/LL-Q1860_(eng)-Vininn126-abbacy.wav,https://en.wiktionary.org/wiki/abbacy
abbas,Canada,"[""/ab\u0259z/""]",./audio_files/en-ca-abbas.wav,https://en.wiktionary.org/wiki/abbas
abbeys,Canada,"[""/\u02c8\u00e6b.iz/""]",./audio_files/en-ca-abbeys.wav,https://en.wiktionary.org/wiki/abbeys
Abbey Wood,UK,"[""/\u02c8\u00e6bi.w\u028ad/""]",./audio_files/LL-Q7979-Soundguys-Abbey_Wood.wav,https://en.wiktionary.org/wiki/Abbey_Wood
abbot,US,"[""/\u02c8\u00e6b.\u0259t/""]",./audio_files/en-us-abbot.wav,https://en.wiktionary.org/wiki/abbot
abbotcies,Canada,"[""/\u02c8\u00e6b.\u0259t.sis/""]",./audio_files/en-ca-abbotcies.wav,https://en.wiktionary.org/wiki/abbotcies
abbotcy,Canada,"[""/\u02c8\u00e6b.\u0259t.si/""]",./audio_files/en-ca-abbotcy.wav,https://en.wiktionary.org/wiki/abbotcy
abbots,Canada,"[""/\u02c8\u00e6b.\u0259ts/""]",./audio_files/en-ca-abbots.wav,https://en.wiktionary.org/wiki/abbots
abbotship,US,"[""/\u02c8\u00e6.b\u0259t.\u0283\u026ap/""]",./audio_files/en-us-abbotship.wav,https://en.wiktionary.org/wiki/abbotship
abbreviate,US,"[""/\u0259\u02c8b\u0279i.vi.e\u026at/""]",./audio_files/en-us-abbreviate.wav,https://en.wiktionary.org/wiki/abbreviate
abbreviated,US,"[""/\u0259\u02c8b\u0279i.vi\u02cce\u026a.t\u026ad/""]",./audio_files/en-us-abbreviated.wav,https://en.wiktionary.org/wiki/abbreviated
abbreviation,Southern England,"[""/\u0259\u02ccb\u0279i\u02d0.vi\u02c8e\u026a.\u0283\u0259n/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abbreviation.wav,https://en.wiktionary.org/wiki/abbreviation
abbreviatory,US,"[""/\u0259\u02c8b\u0279i.vi.\u0259\u02cct\u0254\u0279.i/""]",./audio_files/en-us-abbreviatory.wav,https://en.wiktionary.org/wiki/abbreviatory
abbreviature,Southern England,"[""/\u0259\u02c8b\u0279i.vi.\u0259\u02cct\u0361\u0283\u028a\u0279/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abbreviature.wav,https://en.wiktionary.org/wiki/abbreviature
ABC,California,"[""/e\u026a bi\u02d0 \u02c8si\u02d0/""]",./audio_files/en-us-ABC.wav,https://en.wiktionary.org/wiki/ABC
Abderite,Southern England,"[""/\u02c8\u00e6b.d\u0259\u02cc\u0279a\u026at/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-Abderite.wav,https://en.wiktionary.org/wiki/Abderite
abderitism,Southern England,"[""/\u02c8\u00e6bd\u0259\u02cc\u0279\u026at\u026azm\u0329/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abderitism.wav,https://en.wiktionary.org/wiki/abderitism
abdest,US,"[""/\u02c8\u0251b.d\u025bst/""]",./audio_files/En-us-abdest.wav,https://en.wiktionary.org/wiki/abdest
abdicable,US,"[""/\u02c8\u00e6b.d\u0259.k\u0259.b\u0259l/""]",./audio_files/en-us-abdicable.wav,https://en.wiktionary.org/wiki/abdicable
abdicant,US,"[""/\u02c8\u00e6b.d\u026a.kn\u0329t/""]",./audio_files/En-us-abdicant.wav,https://en.wiktionary.org/wiki/abdicant
abdicate,Canada,"[""/\u02c8\u00e6b.d\u026a\u02ccke\u026at/""]",./audio_files/en-ca-abdicate.wav,https://en.wiktionary.org/wiki/abdicate
abdicated,Canada,"[""/\u02c8\u00e6b.d\u026a.ke\u026a.t\u026ad/""]",./audio_files/en-ca-abdicated.wav,https://en.wiktionary.org/wiki/abdicated
abdicates,Canada,"[""/\u02c8\u00e6b.d\u026a.ke\u026ats/""]",./audio_files/en-ca-abdicates.wav,https://en.wiktionary.org/wiki/abdicates
abdicating,Canada,"[""/\u02c8\u00e6b.d\u026a.ke\u026a.t\u026a\u014b/""]",./audio_files/en-ca-abdicating.wav,https://en.wiktionary.org/wiki/abdicating
abdication,US,"[""/\u02cc\u00e6b.d\u0259\u02c8ke\u026a.\u0283\u0259n/""]",./audio_files/en-us-abdication.wav,https://en.wiktionary.org/wiki/abdication
abditive,Southern England,"[""/\u02c8\u00e6b.d\u026a.t\u026av/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abditive.wav,https://en.wiktionary.org/wiki/abditive
abdo,Southern England,"[""/\u02c8\u00e6bd\u0259\u028a/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abdo.wav,https://en.wiktionary.org/wiki/abdo
abdomina,Canada,"[""/\u00e6b\u02c8d\u0251m.\u0259.n\u0259/""]",./audio_files/en-ca-abdomina.wav,https://en.wiktionary.org/wiki/abdomina
abdominalia,US,"[""/\u02cc\u00e6b.d\u0251.m\u026a\u02c8ne\u026a.li.\u0259/""]",./audio_files/en-us-abdominalia.wav,https://en.wiktionary.org/wiki/abdominalia
abdominally,US,"[""/\u00e6b\u02c8d\u0251m.\u026a.n\u0259.li/""]",./audio_files/LL-Q1860_(eng)-Wodencafe-abdominally.wav,https://en.wiktionary.org/wiki/abdominally
abdominodiaphragmatic breathing,US,"[""/\u00e6b\u02ccd\u0251m.\u026a.no\u028a.di.\u0259.f\u0279\u00e6\u0261\u02c8m\u00e6t.\u026ak b\u0279i\u02d0\u00f0\u026a\u014b/""]",./audio_files/LL-Q1860_(eng)-Persent101-abdominodiaphragmatic_breathing.wav,https://en.wiktionary.org/wiki/abdominodiaphragmatic_breathing
abdominoscopy,US,"[""/\u00e6b\u02ccd\u0251m.\u026an\u02c8\u0251s.k\u0259.pi/""]",./audio_files/en-us-abdominoscopy.wav,https://en.wiktionary.org/wiki/abdominoscopy
abducing,Canada,"[""/ab\u02c8dju.s\u026a\u014b/""]",./audio_files/en-ca-abducing.wav,https://en.wiktionary.org/wiki/abducing
abducted,Canada,"[""/\u00e6b\u02c8d\u028ckt\u026ad/""]",./audio_files/en-ca-abducted.wav,https://en.wiktionary.org/wiki/abducted
abductees,Canada,"[""/\u00e6b.d\u0259k\u02c8ti\u02d0z/""]",./audio_files/en-ca-abductees.wav,https://en.wiktionary.org/wiki/abductees
abducting,Canada,"[""/\u00e6b.d\u0259k\u02c8t\u026a\u014b/""]",./audio_files/en-ca-abducting.wav,https://en.wiktionary.org/wiki/abducting
abductor,Canada,"[""/\u00e6b\u02c8d\u028ck.t\u025a/""]",./audio_files/en-ca-abductor.wav,https://en.wiktionary.org/wiki/abductor
abductors,Canada,"[""/\u00e6b\u02c8d\u028ck.t\u025az/""]",./audio_files/en-ca-abductors.wav,https://en.wiktionary.org/wiki/abductors
Abdul,Southern England,"[""/\u0251b\u02c8d\u028al/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-Abdul.wav,https://en.wiktionary.org/wiki/Abdul
abearance,Southern England,"[""/\u0259\u02c8b\u025b\u0279.\u0259ns/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abearance.wav,https://en.wiktionary.org/wiki/abearance
abearing,US,"[""/\u0259\u02c8b\u025b\u0279.\u026a\u014b/""]",./audio_files/en-us-abearing.wav,https://en.wiktionary.org/wiki/abearing
abegging,Canada,"[""/\u0259\u02c8b\u025b\u0261\u026a\u014b/""]",./audio_files/en-ca-abegging.wav,https://en.wiktionary.org/wiki/abegging
abeles,Canada,"[""/\u0259\u02c8bi\u02d0lz/""]",./audio_files/en-ca-abeles.wav,https://en.wiktionary.org/wiki/abeles
abelmosks,Canada,"[""/e\u026ab\u0259lm\u0252sks/""]",./audio_files/en-ca-abelmosks.wav,https://en.wiktionary.org/wiki/abelmosks
aberr,US,"[""/\u0259\u02c8b\u025d/""]",./audio_files/en-us-aberr.wav,https://en.wiktionary.org/wiki/aberr
aberrate,Southern England,"[""/\u02c8\u00e6b.\u0259.\u0279e\u026at/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-aberrate.wav,https://en.wiktionary.org/wiki/aberrate
aberration,US,"[""/\u02cc\u00e6b.\u0259\u02c8\u0279e\u026a.\u0283n\u0329/""]",./audio_files/en-us-aberration.wav,https://en.wiktionary.org/wiki/aberration
aberrationally,US,"[""-e\u026a\u0283\u0259n\u0259li""]",./audio_files/LL-Q1860_(eng)-Wodencafe-aberrationally.wav,https://en.wiktionary.org/wiki/aberrationally
aberuncate,Southern England,"[""/\u02cc\u00e6b\u0259\u0279\u028c\u014b\u02c8ke\u026at/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-aberuncate.wav,https://en.wiktionary.org/wiki/aberuncate
abetment,US,"[""/\u0259\u02c8b\u025bt.m\u0259nt/""]",./audio_files/en-us-abetment.wav,https://en.wiktionary.org/wiki/abetment
abetment,Canada,"[""/\u0259\u02c8b\u025bt.m\u0259nt/""]",./audio_files/en-ca-abetment.wav,https://en.wiktionary.org/wiki/abetment
abetments,Canada,"[""/\u0259\u02c8b\u025bt.m\u0259nts/""]",./audio_files/en-ca-abetments.wav,https://en.wiktionary.org/wiki/abetments
abets,Canada,"[""/\u0259\u02c8b\u025bts/""]",./audio_files/en-ca-abets.wav,https://en.wiktionary.org/wiki/abets
abettal,Canada,"[""/\u0259\u02c8b\u025bt.l\u0329/""]",./audio_files/en-ca-abettal.wav,https://en.wiktionary.org/wiki/abettal
abettals,Canada,"[""/\u0259\u02c8b\u025bt.l\u0329z/""]",./audio_files/en-ca-abettals.wav,https://en.wiktionary.org/wiki/abettals
abetted,Canada,"[""/\u0259\u02c8b\u025bt\u026ad/""]",./audio_files/en-ca-abetted.wav,https://en.wiktionary.org/wiki/abetted
abetting,Canada,"[""/\u0259\u02c8b\u025bt\u026a\u014b/""]",./audio_files/en-ca-abetting.wav,https://en.wiktionary.org/wiki/abetting
abevacuation,US,"[""/\u00e6b.i\u02ccv\u00e6k.ju\u02c8e\u026a.\u0283n\u0329/""]",./audio_files/en-us-abevacuation.wav,https://en.wiktionary.org/wiki/abevacuation
abeyance,Canada,"[""/\u0259\u02c8be\u026a.\u0259ns/""]",./audio_files/en-ca-abeyance.wav,https://en.wiktionary.org/wiki/abeyance
abeyances,Canada,"[""/\u0259\u02c8be\u026a.\u0259n\u02c8s\u026az/""]",./audio_files/en-ca-abeyances.wav,https://en.wiktionary.org/wiki/abeyances
abeyancy,Southern England,"[""/\u0259\u02c8be\u026a.\u0259nt.si/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abeyancy.wav,https://en.wiktionary.org/wiki/abeyancy
abeyancy,Canada,"[""/\u0259\u02c8be\u026a.\u0259nt.si/""]",./audio_files/en-ca-abeyancy.wav,https://en.wiktionary.org/wiki/abeyancy
abeyant,Received Pronunciation,"[""/\u0259\u02c8be\u026a(\u0259)nt/""]",./audio_files/En-uk-abeyant.wav,https://en.wiktionary.org/wiki/abeyant
abeyant,Canada,"[""/\u0259\u02c8be\u026a(\u0259)nt/""]",./audio_files/en-ca-abeyant.wav,https://en.wiktionary.org/wiki/abeyant
abhorrency,US,"[""/\u0259\u02c8b\u0254\u0279\u026ansi/""]",./audio_files/en-us-abhorrency.wav,https://en.wiktionary.org/wiki/abhorrency
abhorrer,US,"[""/\u00e6b\u02c8h\u0254\u0279.\u025a/""]",./audio_files/en-us-abhorrer.wav,https://en.wiktionary.org/wiki/abhorrer
abhorring,Canada,"[""/\u00e6b\u02c8h\u0254\u0279.\u026a\u014b/""]",./audio_files/en-ca-abhorring.wav,https://en.wiktionary.org/wiki/abhorring
abide,US,"[""/\u0259\u02c8ba\u026ad/""]",./audio_files/en-us-abide.wav,https://en.wiktionary.org/wiki/abide
abided,Canada,"[""/\u0259\u02c8ba\u026ad.\u0259d/""]",./audio_files/en-ca-abided.wav,https://en.wiktionary.org/wiki/abided
abider,Southern England,"[""/\u0259\u02c8b\u0251\u026a.d\u025a/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abider.wav,https://en.wiktionary.org/wiki/abider
abider,Canada,"[""/\u0259\u02c8b\u0251\u026a.d\u025a/""]",./audio_files/en-ca-abider.wav,https://en.wiktionary.org/wiki/abider
abidingly,US,"[""/\u0259\u02c8ba\u026a.d\u026a\u014b.li/""]",./audio_files/en-us-abidingly.wav,https://en.wiktionary.org/wiki/abidingly
abietene,US,"[""/\u02c8\u00e6b.i.\u0259\u02cctin/""]",./audio_files/LL-Q1860_(eng)-Persent101-abietene.wav,https://en.wiktionary.org/wiki/abietene
abietic,US,"[""/\u02cc\u00e6b.i\u02c8\u025bt.\u026ak/""]",./audio_files/LL-Q1860_(eng)-Persent101-abietic.wav,https://en.wiktionary.org/wiki/abietic
abigail,Southern England,"[""/\u02c8a.b\u026a.\u0261e\u026al/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abigail.wav,https://en.wiktionary.org/wiki/abigail
abigail,Canada,"[""/\u02c8a.b\u026a.\u0261e\u026al/""]",./audio_files/en-ca-abigail.wav,https://en.wiktionary.org/wiki/abigail
Abigail,US,"[""/\u02c8\u00e6b.\u0259.\u0261e\u026al/""]",./audio_files/en-us-Abigail.wav,https://en.wiktionary.org/wiki/Abigail
abigails,Canada,"[""/\u02c8a.b\u026a.\u0261e\u026als/""]",./audio_files/en-ca-abigails.wav,https://en.wiktionary.org/wiki/abigails
abigeat,Southern England,"[""/\u0259\u02c8b\u026ad\u0361\u0292i.\u0259t/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-abigeat.wav,https://en.wiktionary.org/wiki/abigeat
abiogenesis,US,"[""/\u02cce\u026a\u02ccbaio\u028a\u02c8d\u0361\u0292\u025bn\u0259s\u026as/""]",./audio_files/LL-Q1860_(eng)-Vininn126-abiogenesis.wav,https://en.wiktionary.org/wiki/abiogenesis
abiogenetic,US,"[""/\u02cce\u026a.bai.o\u028a.d\u0361\u0292\u0259\u02c8n\u025bt.\u026ak/""]",./audio_files/LL-Q1860_(eng)-Persent101-abiogenetic.wav,https://en.wiktionary.org/wiki/abiogenetic
abiogenist,US,"[""/\u02cce\u026a.bai\u02c8\u0251.d\u0361\u0292\u025b.n\u0259st/""]",./audio_files/LL-Q1860_(eng)-Persent101-abiogenist.wav,https://en.wiktionary.org/wiki/abiogenist
abiogenous,US,"[""/\u00e6b.i\u02c8\u0251d\u0361\u0292.\u0259.n\u0259s/""]",./audio_files/LL-Q1860_(eng)-Persent101-abiogenous.wav,https://en.wiktionary.org/wiki/abiogenous
abiotic,Canada,"[""/\u02cce\u026a.ba\u026a\u02c8\u0251t.\u026ak/""]",./audio_files/en-ca-abiotic.wav,https://en.wiktionary.org/wiki/abiotic
Abiquiú,Southern England,"[""/\u02c8\u00e6.b\u026a.kju\u02d0/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-Abiquiú.wav,https://en.wiktionary.org/wiki/Abiquiú
abirritant,US,"[""/\u00e6b\u02c8\u026a\u0279.\u026a.tn\u0329t/""]",./audio_files/LL-Q1860_(eng)-Persent101-abirritant.wav,https://en.wiktionary.org/wiki/abirritant
abirritate,US,"[""/\u00e6b\u02c8\u026a\u0279.\u026a\u02ccte\u026at/""]",./audio_files/LL-Q1860_(eng)-Persent101-abirritate.wav,https://en.wiktionary.org/wiki/abirritate
abirritation,US,"[""/\u02cc\u00e6b.\u026a\u0279.\u026a\u02c8te\u026a.\u0283n\u0329/""]",./audio_files/LL-Q1860_(eng)-Persent101-abirritation.wav,https://en.wiktionary.org/wiki/abirritation
abirritative,US,"[""/\u02cc\u00e6b.\u026a\u0279.\u026a\u02c8te\u026a.t\u026av/""]",./audio_files/LL-Q1860_(eng)-Persent101-abirritative.wav,https://en.wiktionary.org/wiki/abirritative
abject,Received Pronunciation,"[""/\u02c8\u00e6bd\u0361\u0292\u025bkt/""]",./audio_files/En-uk-abject.wav,https://en.wiktionary.org/wiki/abject
abjectedness,US,"[""/\u02cc\u00e6b\u02c8d\u0361\u0292\u025bkt.\u0259d.n\u0259s/""]",./audio_files/LL-Q1860_(eng)-Persent101-abjectedness.wav,https://en.wiktionary.org/wiki/abjectedness
abjection,US,"[""/\u00e6b\u02c8d\u0361\u0292\u025bk.\u0283n\u0329/""]",./audio_files/LL-Q1860_(eng)-Vininn126-abjection.wav,https://en.wiktionary.org/wiki/abjection
abjectness,US,"[""/\u00e6b\u02c8d\u0361\u0292\u025bkt.n\u0259s/""]",./audio_files/LL-Q1860_(eng)-Persent101-abjectness.wav,https://en.wiktionary.org/wiki/abjectness
abjugate,US,"[""/\u02c8\u00e6b.d\u0361\u0292\u0259.\u0261e\u026at/""]",./audio_files/LL-Q1860_(eng)-Persent101-abjugate.wav,https://en.wiktionary.org/wiki/abjugate
